Player,"Vejam só, temos uma nova integrante na área. Hohoho seja bem vinda. Qual é seu nome jovem?",#BEFFF3 ,CavaloLEGH1-Sheet_0,Lele_mov_frente,Cavalo,0
Player,Seja bem vindo!!!,#009D73 ,PEAO1,Lele_mov_frente,Peões,1
Player,"Oi, meu nome é Lele. Qual o nome desse lugar?",#580243 ,Lele_mov_frente,CavaloLEGH1-Sheet_0,Lele,2
NPC,"Ho Ho,reconheço seu desconhecimento. Pois bem. estamos em Turiter, uma cidade esplêndida, onde há um rei honesto e gente de bem. Oh e eu, o cavaleiro mais honrado destas terras",#BEFFF3 ,Lele_mov_frente,CavaloLEGH1-Sheet_0,Cavalo,3
NPC,"Isso aí, é isso mesmo. Sim, concordo.",#009D73 ,Lele_mov_frente,PEOES,Peões,4
Player,Por que estão separados por cores?,#580243 ,Lele_mov_frente,CavaloLEGH1-Sheet_0,Lele,5
NPC,"Ora ora, já está olhando demais. Daquele lado vivem os asquerosos que insistem em não aceitar as coisas corretamente, como deveriam ser.",#BEFFF3 ,Lele_mov_frente,CavaloLEGH1-Sheet_0,Cavalo,6
Player,Não é muito legal falar mal das pessoas pelas costas delas.,#580243 ,Lele_mov_frente,CavaloLEGH1-Sheet_0,Lele,7
NPC,"Oh, você está a defendê-los???? Esperava mais de você, tsk.",#BEFFF3 ,Lele_mov_frente,CavaloLEGH1-Sheet_0,Cavalo,8
Player,"Duas caras, tsk tsk tsk tsk.",#009D73 ,PEAO1,Lele_mov_frente,Peões,9
Player,"Calma, calma, eu não quis defender nada, só estou tentando entender.",#580243 ,Lele_mov_frente,CavaloLEGH1-Sheet_0,Lele,10
Player,Por que você odeia tanto eles?,#580243 ,Lele_mov_frente,CavaloLEGH1-Sheet_0,Lele,11
NPC,O estilo deles de vida não combina com o nosso.,#BEFFF3 ,Lele_mov_frente,CavaloLEGH1-Sheet_0,Cavalo,12
NPC,Como pode uma civilização apoiar o casamento gay?,#BEFFF3 ,Lele_mov_frente,CavaloLEGH1-Sheet_0,Cavalo,13
Player,É isso mesmo kikikiki.,#009D73 ,PEAO3,Lele_mov_frente,Peão3,14
Player,Eles são nojentos.,#009D73 ,PEAO2,Lele_mov_frente,Peão2,15
Player,É o fim da reprodução! Tudo vai acabar em desgraça!,#BEFFF3 ,CavaloLEGH1-Sheet_0,Lele_mov_frente,Cavalo,16
Player,...,#580243 ,Lele_mov_frente,CavaloLEGH1-Sheet_0,Lele,
Player,"Não faz sentido odiar eles por isso. O que importa é o sentimento e não a pessoa…",#580243 ,Lele_mov_frente,CavaloLEGH1-Sheet_0,Lele,
NPC,"Ah, já entendi. Você também é uma deles.",#BEFFF3 ,Lele_mov_frente,CavaloLEGH1-Sheet_0,Cavalo,
NPC,Mais um jovem sendo corrompido  por essa ideologia de pecadores imbecis.,#BEFFF3 ,Lele_mov_frente,CavaloLEGH1-Sheet_0,Cavalo,
Player,Pecadora,#009D73 ,PEAO1,Lele_mov_frente,Peão1,
Player,Imbecil,#009D73 ,PEAO2,Lele_mov_frente,Peão2,
Player,Cancela ela!!!,#009D73 ,Peao3_Destaque,Lele_mov_frente,Peão3,
Player,Mas eu...,#580243 ,Lele_mov_frente,CavaloLEGH1-Sheet_0,Lele,
Player,"Enfim, você está sendo muito agressivo. ",#580243 ,Lele_mov_frente,CavaloLEGH1-Sheet_0,Lele,
Player,Vou continuar minha jornada.,#580243 ,Lele_mov_frente,CavaloLEGH1-Sheet_0,Lele,
NPC,"Além de estúpida, é mal educada. Tenho certeza que não teve um pai na infância para educar você",#BEFFF3 ,Lele_mov_frente,CavaloLEGH1-Sheet_0,Cavalo,
NPC,"Hahaha, órfã",#009D73 ,Lele_mov_frente,PEOES,Peão1,
NPC,Hahaha...,#009D73 ,Lele_mov_frente,PEOES,Peão3,
Player,Mas... eu nunca vi meu pai...,#009D73 ,PEAO3,Lele_mov_frente,Peão3,
Player,Que briga sem sentido. Vamos parar por aqui.,#580243 ,Lele_mov_frente,CavaloLEGH1-Sheet_0,Lele,
NPC,"Você que está cometendo um erro, jovem… Posso não ser o rei, mas estes fiéis farão a minha vontade",#BEFFF3 ,Lele_mov_frente,CavaloLEGH1-Sheet_0,Cavalo,
Player,"CAROS SEGUIDORES, PRECISO DA AJUDA DE VOCÊS CONTRA ESSE MONSTRO. ATAQUEM!!!",#BEFFF3 ,CavaloLEGH1-Sheet_0,PEOES,Cavalo,
