Player,Você sabia que o elefante é o unico mamifer que não consegue pular?,#FCFF5A,Danilo Motor_0,Luca Martins_0,NPC1
NPC,Você sabia que o turiter foi lançado em 2006,#4C4C9E,Danilo Motor_0,Luca Martins_0,NPC2
Player,"Você sabia que Mamonas Assasinas é só o nome da banda, eles nunca mataram alguem",#FCFF5A,Danilo Motor_0,Luca Martins_0,NPC1
NPC,Você sabia que a Gloria Groove ja dublou o Chase do patrulha caninca,#4C4C9E,Danilo Motor_0,Luca Martins_0,NPC2
NPC,Ou sera que foi o Ney Matogrosso?,#4C4C9E,Danilo Motor_0,Luca Martins_0,NPC2
Player,Você sabia que meu colega não é bom de memoria,#FCFF5A,Danilo Motor_0,Luca Martins_0,NPC1
NPC,Você sabia que isso aqui é um jogo,#4C4C9E,Danilo Motor_0,Luca Martins_0,NPC2
Player,Puxa vinheta e se você é um f###nha da um joinha,#FCFF5A,Danilo Motor_0,Luca Martins_0,NPC1
Player,Ta bom então,#580243 ,Lele_mov_frente,Luca Martins_0,Lele
Player,"Você sabia que em uma panela funda, acrescente o leite condensado, a margarina e o chocolate em pó. Cozinhe em fogo médio e mexa até que o brigadeiro comece a desgrudar da panela.Deixe esfriar e faça pequenas bolas com a mão passando a massa no chocolate granulado.",#FCFF5A,Danilo Motor_0,Luca Martins_0,
