NPC,"Ugh, I'm done with the internet for today",165600,Lele_mov_frente,Troll1,Troll 1
NPC,"Gonna play some soccer, sure it's funnier than this",165600,Lele_mov_frente,Troll1,Troll 1
Player,"Thx sooo much, fr, I didn’t knw wht to do n u were so awesome",695200,Lele_mov_frente,Mia_frente_Idle_sheet_0,Mia
NPC,"It’s nothing. I hate seeing situations like that, by the way, what’s your name?",580243,Lele_mov_frente,Mia_Frente_Feliz,Lele
NPC,Mia n urs?,695200,Lele_mov_frente,Mia_frente_Idle_sheet_0,Mia
Player,"Lelê, nice to meet you!",580243,Lele_mov_frente,Mia_Frente_Feliz,Lele
NPC,"Lelê, pretty name…",695200,Lele_mov_frente,Mia_frente_Idle_sheet_0,Mia
Player,Scams online are getting more common. Be careful when people ask for money,580243,Lele_mov_frente,Mia_Frente_Feliz,Lele
Player,You can call the person and confirm if it’s really true,580243,Lele_mov_frente,Mia_Frente_Feliz,Lele
NPC,Oh yea… thx hihihi,695200,Lele_mov_frente,Mia_frente_Idle_sheet_0,Mia
