NPC,"Look who it is, another spoiled brat from the woke generation!",21004A,Lele_mov_frente,Troll_Boss_Idle_0,Troll Boss
Player,I don’t identify as a woman,580243,Lele_mov_frente,Troll_Boss_Idle_0,Lele
NPC,"Stop making up nonsense! Of course, you’re a woman, and an ugly one at that, hehehehe",21004A,Lele_mov_frente,Troll_Boss_Rindo-Sheet,Troll Boss
Player,So much ignorance…,580243,Lele_mov_frente,Troll_Boss_Idle_0,Lele
NPC,"So, what do you even call yourself? One of those ""confused"" people?",21004A,Lele_mov_frente,Troll_Boss_Idle_0,Troll Boss
NPC,"Confusion is not knowing which beer to pick, hehe",21004A,Lele_mov_frente,Troll_Boss_Rindo-Sheet,Troll Boss
Player,"The way I live doesn’t change your life, and if you want, I can explai-",580243,Lele_mov_frente,Troll_Boss_Raiva,Lele
NPC,"Ain’t nothin’ I don’t already know! You should just go clean your house, fix that hair… y’know, women stuff",21004A,Lele_mov_frente,Troll_Boss_Raiva,Troll Boss
Player,Why act like this? Especially knowing you’re only here because of a woman?!,580243,Lele_mov_frente,Troll_Boss_Raiva,Lele
NPC,Think I'll have to teach another woman some good maners,21004A,Lele_mov_frente,Troll_Boss_Raiva,Troll Boss
